person_id,distorted_img,reference_id,similarity,label
129_frontal,129_frontal_sunny.jpg,129_frontal,0.19470128,1
129_frontal,129_frontal_sunny.jpg,019_frontal,0.3970525,0
129_frontal,129_frontal_resized.jpg,129_frontal,0.9939264,1
129_frontal,129_frontal_resized.jpg,022_frontal,0.16083395,0
129_frontal,129_frontal_rainy.jpg,129_frontal,0.9129193,1
129_frontal,129_frontal_rainy.jpg,003_frontal,0.08753582,0
129_frontal,129_frontal_noisy.jpg,129_frontal,0.96242213,1
129_frontal,129_frontal_noisy.jpg,110_frontal,0.06406891,0
129_frontal,129_frontal_lowlight.jpg,129_frontal,0.9617629,1
129_frontal,129_frontal_lowlight.jpg,056_frontal,0.32762805,0
129_frontal,129_frontal_foggy.jpg,129_frontal,0.96757936,1
129_frontal,129_frontal_blurred.jpg,129_frontal,0.99619895,1
128_frontal,128_frontal_resized.jpg,128_frontal,0.9978756,1
128_frontal,128_frontal_rainy.jpg,128_frontal,0.88076335,1
128_frontal,128_frontal_rainy.jpg,113_frontal,-0.03841601,0
128_frontal,128_frontal_noisy.jpg,128_frontal,0.9561043,1
128_frontal,128_frontal_lowlight.jpg,128_frontal,0.953123,1
128_frontal,128_frontal_lowlight.jpg,082_frontal,0.42287302,0
128_frontal,128_frontal_foggy.jpg,128_frontal,0.95662373,1
128_frontal,128_frontal_foggy.jpg,054_frontal,0.06797334,0
128_frontal,128_frontal_blurred.jpg,128_frontal,0.99515,1
125_frontal,125_frontal_resized.jpg,125_frontal,0.9957478,1
125_frontal,125_frontal_rainy.jpg,125_frontal,0.9081774,1
125_frontal,125_frontal_noisy.jpg,125_frontal,0.9595862,1
125_frontal,125_frontal_lowlight.jpg,125_frontal,0.91313225,1
125_frontal,125_frontal_foggy.jpg,125_frontal,0.97304714,1
125_frontal,125_frontal_foggy.jpg,042_frontal,-0.2492478,0
125_frontal,125_frontal_blurred.jpg,125_frontal,0.99776536,1
124_frontal,124_frontal_sunny.jpg,124_frontal,0.2392505,1
124_frontal,124_frontal_resized.jpg,124_frontal,0.9965695,1
124_frontal,124_frontal_rainy.jpg,124_frontal,0.9128494,1
124_frontal,124_frontal_noisy.jpg,124_frontal,0.9628463,1
124_frontal,124_frontal_lowlight.jpg,124_frontal,0.96339214,1
124_frontal,124_frontal_lowlight.jpg,065_frontal,0.37001887,0
124_frontal,124_frontal_foggy.jpg,124_frontal,0.9389107,1
124_frontal,124_frontal_blurred.jpg,124_frontal,0.99460566,1
123_frontal,123_frontal_resized.jpg,123_frontal,0.99281275,1
123_frontal,123_frontal_rainy.jpg,123_frontal,0.8147821,1
123_frontal,123_frontal_noisy.jpg,123_frontal,0.9128041,1
123_frontal,123_frontal_lowlight.jpg,123_frontal,0.9373502,1
123_frontal,123_frontal_foggy.jpg,123_frontal,0.86662805,1
123_frontal,123_frontal_foggy.jpg,029_frontal,0.047028217,0
123_frontal,123_frontal_blurred.jpg,123_frontal,0.9961947,1
123_frontal,123_frontal_blurred.jpg,003_frontal,-0.07540757,0
123_frontal,123_frontal_blurred.jpg,005_frontal,0.14947477,0
123_frontal,123_frontal_blurred.jpg,088_frontal,0.12322913,0
122_frontal,122_frontal_resized.jpg,122_frontal,0.996343,1
122_frontal,122_frontal_resized.jpg,010_frontal,0.0037182495,0
122_frontal,122_frontal_rainy.jpg,122_frontal,0.918059,1
122_frontal,122_frontal_rainy.jpg,090_frontal,-0.018830726,0
122_frontal,122_frontal_rainy.jpg,039_frontal,0.3155129,0
122_frontal,122_frontal_rainy.jpg,008_frontal,-0.20892608,0
122_frontal,122_frontal_noisy.jpg,122_frontal,0.9770144,1
122_frontal,122_frontal_noisy.jpg,100_frontal,0.028127588,0
122_frontal,122_frontal_lowlight.jpg,122_frontal,0.97610223,1
122_frontal,122_frontal_foggy.jpg,122_frontal,0.9603811,1
122_frontal,122_frontal_foggy.jpg,055_frontal,0.32895657,0
122_frontal,122_frontal_blurred.jpg,122_frontal,0.99801844,1
122_frontal,122_frontal_blurred.jpg,053_frontal,0.19147988,0
121_frontal,121_frontal_resized.jpg,121_frontal,0.99410117,1
121_frontal,121_frontal_rainy.jpg,121_frontal,0.91606677,1
121_frontal,121_frontal_rainy.jpg,065_frontal,0.13988037,0
121_frontal,121_frontal_noisy.jpg,121_frontal,0.9546578,1
121_frontal,121_frontal_lowlight.jpg,121_frontal,0.9742318,1
121_frontal,121_frontal_foggy.jpg,121_frontal,0.9661099,1
121_frontal,121_frontal_blurred.jpg,121_frontal,0.99585295,1
119_frontal,119_frontal_resized.jpg,119_frontal,0.9954771,1
119_frontal,119_frontal_rainy.jpg,119_frontal,0.82541263,1
119_frontal,119_frontal_noisy.jpg,119_frontal,0.91772485,1
